,id,hhb,hbo2,ca,na
0,10000,8.755483,4.0016785,9.471564,3.1357632
1,10001,8.146597,3.9882698,9.71832,3.122149
2,10002,11.805557,4.30624,11.166671,3.5603683
3,10003,12.031086,4.251203,11.044005,3.359456
4,10004,7.7934065,3.9487453,9.448965,3.090771
5,10005,8.2214985,3.9857037,9.66734,3.0809665
6,10006,7.9061975,3.9716864,9.487105,3.1332386
7,10007,8.236853,4.0302453,9.546819,3.0952065
8,10008,8.258149,3.964047,9.0959635,3.1201515
9,10009,8.181272,4.0076222,9.633327,3.0988572
10,10010,7.872019,3.883627,9.325097,3.014148
11,10011,7.053341,3.2101417,4.6919417,3.5270514
12,10012,8.175335,4.0148106,9.511245,3.0849762
13,10013,8.200223,3.9255497,8.936427,3.142501
14,10014,7.9030733,3.8139942,7.949172,3.281585
15,10015,8.1810055,3.9731236,9.63528,3.0984466
16,10016,8.734188,3.8265278,9.173735,3.2010374
17,10017,8.27917,3.649178,10.412751,2.1855721
18,10018,8.057559,3.9546695,9.4569235,3.089199
19,10019,8.166447,3.97923,9.818113,3.1550424
20,10020,7.9706697,3.9381819,9.628967,3.122718
21,10021,9.960043,4.1619196,10.886046,2.8807604
22,10022,8.672302,4.0205874,9.417997,3.1742141
23,10023,8.131269,3.9300997,9.078891,3.1382167
24,10024,8.058809,3.9744473,9.672199,3.1197925
25,10025,7.7610083,3.8799987,8.963669,3.0409627
26,10026,9.64314,3.5166671,6.1020484,1.8255386
27,10027,7.8105516,3.8765833,9.52505,3.119252
28,10028,8.1153,3.996345,9.687825,3.1284406
29,10029,7.370412,3.4433882,6.236713,4.068837
30,10030,7.9090614,3.9176464,9.414231,3.0789552
31,10031,8.191974,3.9832702,9.19526,3.0987809
32,10032,8.25443,3.9845912,9.61408,3.098325
33,10033,8.002348,3.9631438,9.522219,3.1204562
34,10034,9.529436,4.2088914,14.093724,2.0855968
35,10035,8.504502,4.018117,9.526057,3.1403472
36,10036,8.0107,3.9717326,9.553847,3.1218107
37,10037,8.329736,4.024664,9.575473,3.0887325
38,10038,8.227382,3.9926567,9.259696,3.100851
39,10039,8.427209,4.0649743,9.59937,3.0854576
40,10040,8.2783165,4.0127625,9.482495,3.0962832
41,10041,8.813719,4.0163937,9.370605,3.2015045
42,10042,7.910921,3.978112,9.481646,3.117623
43,10043,9.695598,3.9579911,9.875655,3.4052608
44,10044,8.138843,3.929222,9.001906,3.1330173
45,10045,8.056258,3.994094,9.63675,3.1189039
46,10046,8.182295,4.006767,9.391553,3.085971
47,10047,6.8209944,3.7929497,9.671867,3.9867105
48,10048,6.4921246,3.9536984,9.0395975,3.6176498
49,10049,8.334693,3.9927957,9.020889,2.285026
50,10050,8.136745,3.9803367,9.780678,3.1600049
51,10051,8.115286,3.9261105,8.968064,3.1356544
52,10052,7.942609,3.9500785,9.339648,3.1067479
53,10053,8.328648,3.968192,9.936718,3.140288
54,10054,8.337444,3.9569926,9.157121,3.0971324
55,10055,7.749153,3.803934,9.318087,3.3677275
56,10056,8.009523,3.939314,9.683315,3.1308928
57,10057,8.7140665,4.0022836,9.341523,3.1911058
58,10058,7.961071,3.9661317,9.50358,3.1302824
59,10059,6.832411,3.685906,7.610541,4.9504185
60,10060,8.228104,3.9550576,9.425266,3.103039
61,10061,4.6060743,3.651843,8.879462,1.7741388
62,10062,7.798298,3.8697944,9.5738325,3.1960728
63,10063,8.121236,3.9966435,9.688716,3.1249847
64,10064,8.203594,3.9762664,9.780062,3.1228719
65,10065,9.899382,4.062899,10.54646,2.6604252
66,10066,8.147979,3.9887855,9.7180805,3.1224132
67,10067,8.264641,3.995173,9.6459465,3.1097252
68,10068,7.8813524,3.9754467,9.506314,3.1128767
69,10069,8.388699,3.986873,9.72758,3.1296308
70,10070,8.382759,4.0593724,9.584676,3.0890386
71,10071,8.131613,3.9650617,9.208919,3.1122153
72,10072,8.045045,3.991179,9.614337,3.123895
73,10073,8.131372,3.9974601,9.689164,3.120903
74,10074,8.377497,4.049664,9.564815,3.0826607
